SiteCode;SiteName;DirectionName;LaneCode;LaneName;Date;TimeFrom;TimeTo;ValuesApproved;ValuesEdited;TrafficType;Total;DateTimeFrom;DateTimeTo;Year;Month;Day;Weekday;HourFrom;DayOfYear;Zst_id
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;10:00;11:00;1;0;Velo;61;2020-01-03 10:00:00;2020-01-03 11:00:00;2020;1;3;4;10;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;11:00;12:00;1;0;Velo;56;2020-01-03 11:00:00;2020-01-03 12:00:00;2020;1;3;4;11;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;12:00;13:00;1;0;Velo;70;2020-01-03 12:00:00;2020-01-03 13:00:00;2020;1;3;4;12;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;13:00;14:00;1;0;Velo;95;2020-01-03 13:00:00;2020-01-03 14:00:00;2020;1;3;4;13;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;14:00;15:00;1;0;Velo;89;2020-01-03 14:00:00;2020-01-03 15:00:00;2020;1;3;4;14;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;15:00;16:00;1;0;Velo;88;2020-01-03 15:00:00;2020-01-03 16:00:00;2020;1;3;4;15;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;16:00;17:00;1;0;Velo;113;2020-01-03 16:00:00;2020-01-03 17:00:00;2020;1;3;4;16;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;17:00;18:00;1;0;Velo;107;2020-01-03 17:00:00;2020-01-03 18:00:00;2020;1;3;4;17;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;18:00;19:00;1;0;Velo;63;2020-01-03 18:00:00;2020-01-03 19:00:00;2020;1;3;4;18;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;19:00;20:00;1;0;Velo;62;2020-01-03 19:00:00;2020-01-03 20:00:00;2020;1;3;4;19;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;20:00;21:00;1;0;Velo;41;2020-01-03 20:00:00;2020-01-03 21:00:00;2020;1;3;4;20;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;21:00;22:00;1;0;Velo;30;2020-01-03 21:00:00;2020-01-03 22:00:00;2020;1;3;4;21;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;22:00;23:00;1;0;Velo;36;2020-01-03 22:00:00;2020-01-03 23:00:00;2020;1;3;4;22;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;23:00;00:00;1;0;Velo;30;2020-01-03 23:00:00;2020-01-04 00:00:00;2020;1;3;4;23;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;00:00;01:00;1;0;Velo;17;2020-01-04 00:00:00;2020-01-04 01:00:00;2020;1;4;5;0;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;01:00;02:00;1;0;Velo;10;2020-01-04 01:00:00;2020-01-04 02:00:00;2020;1;4;5;1;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;02:00;03:00;1;0;Velo;8;2020-01-04 02:00:00;2020-01-04 03:00:00;2020;1;4;5;2;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;03:00;04:00;1;0;Velo;5;2020-01-04 03:00:00;2020-01-04 04:00:00;2020;1;4;5;3;4;350
